Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
83	41.796806	49.316776	294.48468	3.798245	184.15	36.508476	10.774767	55.76052	-23.287487	100800	-8.443991e-08	1576.5132	-0.012191902	-76.96383	0.83032197	0.0129199205	0.11666667	2870.7670950889587
84	37.20042	23.132895	121.94248	4.7543745	182.51282	43.60972	10.588717	67.390526	-14.075544	102000	-4.9670536e-08	450.21597	-0.010325502	-67.22663	1.0607511	0.01182409	0.14583333	2907.671860933304
85	44.87588	37.520718	203.43172	5.276949	185.93024	24.19125	9.475047	51.197083	1.0808485	103200	2.4835268e-08	1137.545	-0.007192926	-102.17347	0.75461006	0.007368784	0.085	2944.126204967499
86	42.152454	46.296265	235.48994	6.9215	186.075	29.22514	10.14668	59.837276	5.567289	104400	4.967054e-09	1428.0753	-0.016268969	-141.14876	0.9531248	0.015307807	0.14916666	2975.955539703369
87	39.1926	36.767155	197.52457	5.396243	188.22728	43.812527	8.847702	66.2301	18.076845	105600	1.9868216e-08	934.4649	-0.008111496	-37.299442	0.7657165	0.009650193	0.079166666	3014.8078656196594
88	25.532055	14.23138	61.58727	4.7078624	187.75	34.272396	9.60873	59.480274	-6.387088	106800	-7.947286e-08	270.94528	-0.012329653	-119.44181	0.76374316	0.011955981	0.11666667	3052.3947875499725
89	28.316471	21.92003	85.002754	6.6698084	189.86046	18.130365	9.154063	42.53986	-4.5872216	108000	-1.9868216e-08	307.57584	-0.010277167	-63.608616	0.59142476	0.01862903	0.18083334	3089.647669315338
90	48.55052	47.24674	301.93176	4.1389976	185.46666	33.20825	8.720409	51.992233	-21.566631	109200	1.9868216e-08	1747.9479	-0.0062325373	-171.00023	0.69314957	0.011418675	0.11249999	3130.3637199401855
91	53.977016	60.102924	289.33337	9.30244	187.65854	50.548927	9.356592	67.96246	20.37582	110400	1.9868216e-08	2347.9324	-0.008849375	-52.998287	0.74786466	0.010478382	0.09333333	3167.6971883773804
92	40.22791	24.534056	128.16731	6.974968	185.22223	47.41381	8.173577	69.34595	12.81657	111600	-8.940697e-08	463.5879	-0.0062982105	-77.867775	0.61613727	0.013739624	0.11416667	3205.814392566681
93	40.99338	39.46734	244.98615	6.098103	186.64444	30.788717	13.93286	61.967518	2.578893	112800	7.947286e-08	771.3213	-0.011763607	-24.02514	0.51601166	0.0070170425	0.09583333	3244.58544254303
94	53.077297	50.630867	263.5268	9.292798	188.58333	37.561977	9.336637	64.47718	17.086578	114000	9.934107e-08	1882.1123	-0.005877229	-137.62321	0.48741937	0.020438667	0.06916667	3282.021518945694
95	49.497513	44.12672	222.40361	8.248208	185.5238	47.029545	7.621344	76.157906	26.51025	115200	-5.9604645e-08	1285.9067	-0.008591362	-46.828655	0.5710432	0.012666084	0.11750001	3319.0760881900787
96	56.45292	44.17428	212.52792	8.052006	183.32558	53.96428	9.620705	77.68313	21.49234	116400	9.934108e-09	1553.3688	-0.006006358	-70.924416	0.5577236	0.007195027	0.07666667	3358.157335996628
97	39.911377	30.747932	131.5541	5.453159	182.25	45.544395	8.911123	66.43485	5.451559	117600	5.9604645e-08	705.6689	-0.009621958	-96.90955	0.79110605	0.00651932	0.064166665	3391.4168417453766
98	45.343792	48.777775	307.1061	4.6909285	182.90244	35.06784	9.9476185	49.551632	-25.004974	118800	-1.9868216e-08	1540.8146	-0.0114909755	-45.596905	0.6159733	0.028259499	0.15666667	3430.0685710906982
99	35.657597	28.570168	153.65593	4.584801	187.11111	36.348236	7.7141232	48.503304	-16.444788	120000	1.4901161e-08	577.8581	-0.011255476	-28.220873	0.6289707	0.016761413	0.14999999	3467.2711696624756
